Week Ending,County,UI Claims,PUA Claims
07/18/2020,Contra Costa,10055,3072
07/18/2020,Marin,1495,396
07/18/2020,Napa,1067,181
07/18/2020,San Francisco,6646,1793
07/18/2020,San Mateo,4563,789
07/18/2020,Santa Clara,11899,2570
07/18/2020,Solano,5039,1458
07/18/2020,Sonoma,4125,887
07/25/2020,Alameda,13806,4997
07/25/2020,Contra Costa,10007,3633
07/25/2020,Marin,1414,465
07/25/2020,Napa,1121,198
07/25/2020,San Francisco,6666,2184
07/25/2020,San Mateo,4080,750
07/25/2020,Santa Clara,11284,2604
07/25/2020,Solano,4850,1766
07/25/2020,Sonoma,3662,853
08/01/2020,Alameda,12968,4829
08/01/2020,Contra Costa,9236,3191
08/01/2020,Marin,1265,330
08/01/2020,Napa,910,185
08/01/2020,San Francisco,5855,1805
08/01/2020,San Mateo,3865,755
08/01/2020,Santa Clara,9894,2214
08/01/2020,Solano,4350,1680
08/01/2020,Sonoma,3124,760
08/08/2020,Alameda,12733,4933
08/08/2020,Contra Costa,8900,3342
08/08/2020,Marin,1091,293
08/08/2020,Napa,826,148
08/08/2020,San Francisco,5822,1915
08/08/2020,San Mateo,3843,748
08/08/2020,Santa Clara,9635,2197
08/08/2020,Solano,4447,1865
08/08/2020,Sonoma,2839,655
08/15/2020,Alameda,14224,6996
08/15/2020,Contra Costa,9252,4156
08/15/2020,Marin,1107,327
08/15/2020,Napa,822,225
08/15/2020,San Francisco,6139,2575
08/15/2020,San Mateo,3794,950
08/15/2020,Santa Clara,9443,2617
08/15/2020,Solano,4527,2194
08/15/2020,Sonoma,2888,846
08/22/2020,Alameda,18240,10560
08/22/2020,Contra Costa,11077,5661
08/22/2020,Marin,1257,510
08/22/2020,Napa,1054,444
08/22/2020,San Francisco,8321,4374
08/22/2020,San Mateo,4573,1705
08/22/2020,Santa Clara,12606,5283
08/22/2020,Solano,5251,2837
08/22/2020,Sonoma,3480,1383
08/29/2020,Alameda,26274,17452
08/29/2020,Contra Costa,15179,9226
08/29/2020,Marin,1784,971
08/29/2020,Napa,1341,676
08/29/2020,San Francisco,12269,7979
08/29/2020,San Mateo,5936,2948
08/29/2020,Santa Clara,16829,9287
08/29/2020,Solano,7399,4577
08/29/2020,Sonoma,4366,2200
09/05/2020,Alameda,28748,18885
09/05/2020,Contra Costa,16766,10183
09/05/2020,Marin,1920,952
09/05/2020,Napa,1511,755
09/05/2020,San Francisco,13196,8328
09/05/2020,San Mateo,6600,3126
09/05/2020,Santa Clara,18864,10365
09/05/2020,Solano,8217,5063
09/05/2020,Sonoma,5187,2558
09/12/2020,Alameda,17195,8162
09/12/2020,Contra Costa,10437,4536
09/12/2020,Marin,1343,433
09/12/2020,Napa,1049,323
09/12/2020,San Francisco,8100,3590
09/12/2020,San Mateo,4665,1342
09/12/2020,Santa Clara,12711,4488
09/12/2020,Solano,4920,2214
09/12/2020,Sonoma,3581,1075
09/19/2020,Alameda,12247,3365
09/19/2020,Contra Costa,8178,2282
09/19/2020,Marin,1128,234
09/19/2020,Napa,942,135
09/19/2020,San Francisco,6198,1604
09/19/2020,San Mateo,4126,698
09/19/2020,Santa Clara,10110,2120
09/19/2020,Solano,3847,1138
09/19/2020,Sonoma,2967,619
09/26/2020,Alameda,7428,1297
09/26/2020,Contra Costa,5169,899
09/26/2020,Marin,749,108
09/26/2020,Napa,688,70
09/26/2020,San Francisco,4021,684
09/26/2020,San Mateo,2709,320
09/26/2020,Santa Clara,6910,942
09/26/2020,Solano,2441,519
09/26/2020,Sonoma,2120,295
10/03/2020,Alameda,5859,496
10/03/2020,Contra Costa,4031,391
10/03/2020,Marin,776,94
10/03/2020,Napa,797,31
10/03/2020,San Francisco,3543,279
10/03/2020,San Mateo,2643,201
10/03/2020,Santa Clara,6440,439
10/03/2020,Solano,1841,132
10/03/2020,Sonoma,2000,173
10/10/2020,Alameda,7405,832
10/10/2020,Contra Costa,5074,614
10/10/2020,Marin,895,142
10/10/2020,Napa,1080,76
10/10/2020,San Francisco,4190,442
10/10/2020,San Mateo,3244,313
10/10/2020,Santa Clara,7519,777
10/10/2020,Solano,2442,238
10/10/2020,Sonoma,2342,228
10/17/2020,Alameda,6499,777
10/17/2020,Contra Costa,4684,614
10/17/2020,Marin,861,131
10/17/2020,Napa,872,52
10/17/2020,San Francisco,3893,475
10/17/2020,San Mateo,2899,289
10/17/2020,Santa Clara,6764,762
10/17/2020,Solano,2129,249
10/17/2020,Sonoma,1970,230
10/24/2020,Alameda,6289,869
10/24/2020,Contra Costa,4498,623
10/24/2020,Marin,791,127
10/24/2020,Napa,793,82
10/24/2020,San Francisco,3661,462
10/24/2020,San Mateo,2715,283
10/24/2020,Santa Clara,6237,686
10/24/2020,Solano,2042,261
10/24/2020,Sonoma,1979,276
10/31/2020,Alameda,6733,968
10/31/2020,Contra Costa,4788,787
10/31/2020,Marin,860,155
10/31/2020,Napa,804,115
10/31/2020,San Francisco,3949,569
10/31/2020,San Mateo,2917,410
10/31/2020,Santa Clara,6673,802
10/31/2020,Solano,2326,386
10/31/2020,Sonoma,2239,386
11/07/2020,Alameda,6797,839
11/07/2020,Contra Costa,4992,585
11/07/2020,Marin,883,135
11/07/2020,Napa,795,61
11/07/2020,San Francisco,3963,495
11/07/2020,San Mateo,2908,312
11/07/2020,Santa Clara,6821,740
11/07/2020,Solano,2236,250
11/07/2020,Sonoma,2171,263
11/14/2020,Alameda,7126,1095
11/14/2020,Contra Costa,5210,783
11/14/2020,Marin,926,161
11/14/2020,Napa,870,80
11/14/2020,San Francisco,4281,620
11/14/2020,San Mateo,3160,387
11/14/2020,Santa Clara,7348,912
11/14/2020,Solano,2444,371
11/14/2020,Sonoma,2372,333
11/21/2020,Alameda,7771,1180
11/21/2020,Contra Costa,5533,844
11/21/2020,Marin,967,160
11/21/2020,Napa,1051,109
11/21/2020,San Francisco,4071,673
11/21/2020,San Mateo,3109,392
11/21/2020,Santa Clara,7846,1082
11/21/2020,Solano,2667,367
11/21/2020,Sonoma,2432,437
11/28/2020,Alameda,5482,1099
11/28/2020,Contra Costa,4327,875
11/28/2020,Marin,672,146
11/28/2020,Napa,661,88
11/28/2020,San Francisco,3303,674
11/28/2020,San Mateo,2414,435
11/28/2020,Santa Clara,6069,1054
11/28/2020,Solano,1904,325
11/28/2020,Sonoma,1772,317
12/05/2020,Alameda,7774,1589
12/05/2020,Contra Costa,5607,1081
12/05/2020,Marin,1100,205
12/05/2020,Napa,1022,109
12/05/2020,San Francisco,4773,968
12/05/2020,San Mateo,3440,581
12/05/2020,Santa Clara,9573,1472
12/05/2020,Solano,2484,404
12/05/2020,Sonoma,2436,422
12/12/2020,Alameda,9552,1799
12/12/2020,Contra Costa,6891,1377
12/12/2020,Marin,1414,270
12/12/2020,Napa,956,103
12/12/2020,San Francisco,6003,992
12/12/2020,San Mateo,3636,542
12/12/2020,Santa Clara,10983,1798
12/12/2020,Solano,2433,403
12/12/2020,Sonoma,2859,449
12/19/2020,Alameda,7580,1698
12/19/2020,Contra Costa,5327,1205
12/19/2020,Marin,1098,232
12/19/2020,Napa,1286,136
12/19/2020,San Francisco,4671,932
12/19/2020,San Mateo,3282,578
12/19/2020,Santa Clara,8125,1740
12/19/2020,Solano,2410,451
12/19/2020,Sonoma,3224,557
12/26/2020,Alameda,7751,1275
12/26/2020,Contra Costa,5503,913
12/26/2020,Marin,1029,173
12/26/2020,Napa,1218,93
12/26/2020,San Francisco,4909,727
12/26/2020,San Mateo,4019,444
12/26/2020,Santa Clara,8398,1286
12/26/2020,Solano,2706,402
12/26/2020,Sonoma,2889,419
01/02/2021,Alameda,6895,1051
01/02/2021,Contra Costa,5040,727
01/02/2021,Marin,884,147
01/02/2021,Napa,852,77
01/02/2021,San Francisco,4089,599
01/02/2021,San Mateo,3044,368
01/02/2021,Santa Clara,7244,878
01/02/2021,Solano,2270,287
01/02/2021,Sonoma,2501,312
01/09/2021,Alameda,7423,1273
01/09/2021,Contra Costa,5146,861
01/09/2021,Marin,848,139
01/09/2021,Napa,1011,98
01/09/2021,San Francisco,4393,681
01/09/2021,San Mateo,3278,392
01/09/2021,Santa Clara,7751,1148
01/09/2021,Solano,2589,382
01/09/2021,Sonoma,2541,321
01/16/2021,Alameda,12509,3832
01/16/2021,Contra Costa,8763,2678
01/16/2021,Marin,1409,502
01/16/2021,Napa,1299,293
01/16/2021,San Francisco,7653,1972
01/16/2021,San Mateo,5179,1252
01/16/2021,Santa Clara,11656,3193
01/16/2021,Solano,4087,1202
01/16/2021,Sonoma,3465,981
01/23/2021,Alameda,3581,1402
01/23/2021,Contra Costa,2475,993
01/23/2021,Marin,407,142
01/23/2021,Napa,339,90
01/23/2021,San Francisco,1886,674
01/23/2021,San Mateo,1311,392
01/23/2021,Santa Clara,3282,1122
01/23/2021,Solano,1078,431
01/23/2021,Sonoma,1023,350
01/30/2021,Alameda,5761,1552
01/30/2021,Contra Costa,4104,1208
01/30/2021,Marin,617,178
01/30/2021,Napa,542,105
01/30/2021,San Francisco,3298,833
01/30/2021,San Mateo,2232,494
01/30/2021,Santa Clara,5715,1381
01/30/2021,Solano,1853,461
01/30/2021,Sonoma,1711,424
02/06/2021,Alameda,6817,1169
02/06/2021,Contra Costa,4931,915
02/06/2021,Marin,838,188
02/06/2021,Napa,716,109
02/06/2021,San Francisco,3839,633
02/06/2021,San Mateo,2983,483
02/06/2021,Santa Clara,6778,932
02/06/2021,Solano,2301,414
02/06/2021,Sonoma,2062,316
02/13/2021,Alameda,7132,1059
02/13/2021,Contra Costa,5075,828
02/13/2021,Marin,926,188
02/13/2021,Napa,745,75
02/13/2021,San Francisco,4200,647
02/13/2021,San Mateo,3220,378
02/13/2021,Santa Clara,7468,1010
02/13/2021,Solano,2334,330
02/13/2021,Sonoma,2211,327
02/20/2021,Alameda,4204,740
02/20/2021,Contra Costa,3039,554
02/20/2021,Marin,487,86
02/20/2021,Napa,448,54
02/20/2021,San Francisco,2545,405
02/20/2021,San Mateo,1837,257
02/20/2021,Santa Clara,4340,659
02/20/2021,Solano,1484,234
02/20/2021,Sonoma,1357,217
02/27/2021,Alameda,4981,960
02/27/2021,Contra Costa,3472,735
02/27/2021,Marin,616,138
02/27/2021,Napa,491,63
02/27/2021,San Francisco,3000,501
02/27/2021,San Mateo,2005,298
02/27/2021,Santa Clara,4914,807
02/27/2021,Solano,1560,243
02/27/2021,Sonoma,1436,267
03/06/2021,Alameda,5834,1362
03/06/2021,Contra Costa,4075,966
03/06/2021,Marin,734,219
03/06/2021,Napa,574,89
03/06/2021,San Francisco,3349,675
03/06/2021,San Mateo,2400,454
03/06/2021,Santa Clara,5589,1045
03/06/2021,Solano,1836,389
03/06/2021,Sonoma,1812,394
03/13/2021,Alameda,5723,989
03/13/2021,Contra Costa,4032,693
03/13/2021,Marin,718,162
03/13/2021,Napa,564,74
03/13/2021,San Francisco,3471,551
03/13/2021,San Mateo,2366,299
03/13/2021,Santa Clara,5715,732
03/13/2021,Solano,1928,288
03/13/2021,Sonoma,1729,285
03/20/2021,Alameda,4880,723
03/20/2021,Contra Costa,3290,495
03/20/2021,Marin,610,111
03/20/2021,Napa,461,46
03/20/2021,San Francisco,3077,385
03/20/2021,San Mateo,2073,230
03/20/2021,Santa Clara,4784,597
03/20/2021,Solano,1570,217
03/20/2021,Sonoma,1492,206
03/27/2021,Alameda,5357,586
03/27/2021,Contra Costa,3596,409
03/27/2021,Marin,568,83
03/27/2021,Napa,443,38
03/27/2021,San Francisco,3542,318
03/27/2021,San Mateo,2340,184
03/27/2021,Santa Clara,5243,467
03/27/2021,Solano,1501,139
03/27/2021,Sonoma,1471,155
04/03/2021,Alameda,7319,889
04/03/2021,Contra Costa,4893,581
04/03/2021,Marin,908,164
04/03/2021,Napa,659,78
04/03/2021,San Francisco,5027,527
04/03/2021,San Mateo,3103,320
04/03/2021,Santa Clara,7080,785
04/03/2021,Solano,2163,253
04/03/2021,Sonoma,1996,300
04/10/2021,Alameda,8526,775
04/10/2021,Contra Costa,5806,554
04/10/2021,Marin,955,105
04/10/2021,Napa,700,59
04/10/2021,San Francisco,6413,436
04/10/2021,San Mateo,3830,265
04/10/2021,Santa Clara,8211,661
04/10/2021,Solano,2292,214
04/10/2021,Sonoma,2055,180
04/17/2021,Alameda,7956,682
04/17/2021,Contra Costa,5304,417
04/17/2021,Marin,831,71
04/17/2021,Napa,626,52
04/17/2021,San Francisco,6084,379
04/17/2021,San Mateo,3458,243
04/17/2021,Santa Clara,7783,611
04/17/2021,Solano,2047,183
04/17/2021,Sonoma,1958,179
04/24/2021,Alameda,6804,662
04/24/2021,Contra Costa,4560,457
04/24/2021,Marin,740,93
04/24/2021,Napa,535,62
04/24/2021,San Francisco,4838,369
04/24/2021,San Mateo,2878,185
04/24/2021,Santa Clara,6581,582
04/24/2021,Solano,1943,205
04/24/2021,Sonoma,1671,160
05/01/2021,Alameda,5789,567
05/01/2021,Contra Costa,3923,427
05/01/2021,Marin,600,81
05/01/2021,Napa,479,47
05/01/2021,San Francisco,4040,336
05/01/2021,San Mateo,2602,210
05/01/2021,Santa Clara,5625,567
05/01/2021,Solano,1689,178
05/01/2021,Sonoma,1477,179
05/08/2021,Alameda,5544,580
05/08/2021,Contra Costa,3667,447
05/08/2021,Marin,600,83
05/08/2021,Napa,419,53
05/08/2021,San Francisco,3791,367
05/08/2021,San Mateo,2429,316
05/08/2021,Santa Clara,5451,693
05/08/2021,Solano,1593,152
05/08/2021,Sonoma,1316,157
05/15/2021,Alameda,5538,587
05/15/2021,Contra Costa,3901,418
05/15/2021,Marin,613,91
05/15/2021,Napa,483,43
05/15/2021,San Francisco,3909,397
05/15/2021,San Mateo,2396,192
05/15/2021,Santa Clara,5409,551
05/15/2021,Solano,1636,164
05/15/2021,Sonoma,1504,174
05/22/2021,Alameda,6892,507
05/22/2021,Contra Costa,4561,366
05/22/2021,Marin,812,79
05/22/2021,Napa,471,39
05/22/2021,San Francisco,4619,281
05/22/2021,San Mateo,2850,139
05/22/2021,Santa Clara,6288,375
05/22/2021,Solano,1744,131
05/22/2021,Sonoma,1659,123
05/29/2021,Alameda,5664,495
05/29/2021,Contra Costa,3841,377
05/29/2021,Marin,635,70
05/29/2021,Napa,392,42
05/29/2021,San Francisco,3878,233
05/29/2021,San Mateo,2346,140
05/29/2021,Santa Clara,5307,419
05/29/2021,Solano,1580,140
05/29/2021,Sonoma,1410,126
