route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
101,29,t32F-b3F3-sl1D,"Giant",1,1011,3316_shp,1,0
101,29,t32F-b3F4-sl1D,"Eagle Valley",0,1012,3308_shp,1,0
101,29,t3A2-b3F3-sl1D,"Eagle Valley",0,1011,3308_shp,1,0
101,29,t3A2-b3F4-sl1D,"Giant",1,1012,3316_shp,1,0
101,29,t415-b3F3-sl1D,"Giant",1,1011,3316_shp,1,0
101,29,t415-b3F4-sl1D,"Eagle Valley",0,1012,3308_shp,1,0
101,29,t4B0-b3F3-sl1D,"Eagle Valley",0,1011,3308_shp,1,0
101,29,t4B0-b3F4-sl1D,"Giant",1,1012,3316_shp,1,0
101,29,t523-b3F3-sl1D,"Giant",1,1011,3316_shp,1,0
101,29,t523-b3F4-sl1D,"Eagle Valley",0,1012,3308_shp,1,0
101,29,t596-b3F3-sl1D,"Eagle Valley",0,1011,3308_shp,1,0
101,29,t596-b3F4-sl1D,"Giant",1,1012,3316_shp,1,0
101,29,t609-b3F3-sl1D,"Giant",1,1011,3316_shp,1,0
101,29,t609-b3F4-sl1D,"Eagle Valley",0,1012,3308_shp,1,0
101,29,t6A4-b3F3-sl1D,"Eagle Valley",0,1011,3308_shp,1,0
101,29,t6A4-b3F4-sl1D,"Giant",1,1012,3316_shp,1,0
101,29,t717-b3F3-sl1D,"Giant",1,1011,3316_shp,1,0
101,29,t717-b3F4-sl1D,"Eagle Valley",0,1012,3308_shp,1,0
101,29,t78A-b3F4-sl1D,"Giant",1,1012,3315_shp,1,0
101,30,t267-b3F4-sl1E,"Eagle Valley",0,1012,3307_shp,1,0
101,30,t26C-b3F3-sl1E,"Giant",1,1011,3319_shp,1,0
101,30,t2CB-b3F4-sl1E,"Giant",1,1012,3306_shp,1,0
101,30,t2DA-b3F3-sl1E,"Eagle Valley",0,1011,3310_shp,1,0
101,30,t32F-b3F3-sl1E,"Giant",1,1011,3306_shp,1,0
101,30,t32F-b3F4-sl1E,"Eagle Valley",0,1012,3317_shp,1,0
101,30,t3A2-b3F3-sl1E,"Eagle Valley",0,1011,3317_shp,1,0
101,30,t3A2-b3F4-sl1E,"Giant",1,1012,3306_shp,1,0
101,30,t415-b3F3-sl1E,"Giant",1,1011,3306_shp,1,0
101,30,t415-b3F4-sl1E,"Eagle Valley",0,1012,3317_shp,1,0
101,30,t4B0-b3F3-sl1E,"Eagle Valley",0,1011,3317_shp,1,0
101,30,t4B0-b3F4-sl1E,"Giant",1,1012,3306_shp,1,0
101,30,t523-b3F3-sl1E,"Giant",1,1011,3306_shp,1,0
101,30,t523-b3F4-sl1E,"Eagle Valley",0,1012,3317_shp,1,0
101,30,t596-b3F3-sl1E,"Eagle Valley",0,1011,3317_shp,1,0
101,30,t596-b3F4-sl1E,"Giant",1,1012,3306_shp,1,0
101,30,t609-b3F3-sl1E,"Giant",1,1011,3306_shp,1,0
101,30,t609-b3F4-sl1E,"Eagle Valley",0,1012,3317_shp,1,0
101,30,t6A4-b3F3-sl1E,"Eagle Valley",0,1011,3317_shp,1,0
101,30,t6A4-b3F4-sl1E,"Giant",1,1012,3306_shp,1,0
101,30,t717-b3F3-sl1E,"Giant",1,1011,3306_shp,1,0
101,30,t717-b3F4-sl1E,"Eagle Valley",0,1012,3317_shp,1,0
101,30,t78A-b3F4-sl1E,"Giant",1,1012,3319_shp,1,0
101,31,t267-b3F4-sl1F,"Eagle Valley",0,1012,3288_shp,1,0
101,31,t2CB-b3F4-sl1F,"Giant",1,1012,3289_shp,1,0
101,31,t2DA-b3F3-sl1F,"Eagle Valley",0,1011,3287_shp,1,0
101,31,t32F-b3F3-sl1F,"Giant",1,1011,3289_shp,1,0
101,31,t32F-b3F4-sl1F,"Eagle Valley",0,1012,3286_shp,1,0
101,31,t3A2-b3F3-sl1F,"Eagle Valley",0,1011,3286_shp,1,0
101,31,t3A2-b3F4-sl1F,"Giant",1,1012,3289_shp,1,0
101,31,t415-b3F3-sl1F,"Giant",1,1011,3289_shp,1,0
101,31,t415-b3F4-sl1F,"Eagle Valley",0,1012,3286_shp,1,0
101,31,t4B0-b3F3-sl1F,"Eagle Valley",0,1011,3286_shp,1,0
101,31,t4B0-b3F4-sl1F,"Giant",1,1012,3289_shp,1,0
101,31,t523-b3F3-sl1F,"Giant",1,1011,3289_shp,1,0
101,31,t523-b3F4-sl1F,"Eagle Valley",0,1012,3286_shp,1,0
101,31,t596-b3F3-sl1F,"Eagle Valley",0,1011,3286_shp,1,0
101,31,t596-b3F4-sl1F,"Giant",1,1012,3289_shp,1,0
101,31,t609-b3F3-sl1F,"Giant",1,1011,3289_shp,1,0
101,31,t609-b3F4-sl1F,"Eagle Valley",0,1012,3286_shp,1,0
101,31,t6A4-b3F3-sl1F,"Eagle Valley",0,1011,3286_shp,1,0
101,31,t6A4-b3F4-sl1F,"Giant",1,1012,3289_shp,1,0
101,31,t717-b3F3-sl1F,"Giant",1,1011,3289_shp,1,0
101,31,t717-b3F4-sl1F,"Eagle Valley",0,1012,3286_shp,1,0
101,31,t78A-b3F4-sl1F,"Giant",1,1012,3290_shp,1,0
102,28,t25A-b3F4-sl1C,"Giant No NCC",1,1012,3339_shp,1,0
102,28,t2C6-b3FD-sl1C,"Mountain Center",0,1021,3336_shp,1,0
102,28,t2D1-b3FE-sl1C,"Giant",1,1022,3344_shp,1,0
102,28,t32F-b3FE-sl1C,"Mountain Center",0,1022,3336_shp,1,0
102,28,t332-b3FD-sl1C,"Giant",1,1021,3338_shp,1,0
102,28,t39E-b3FE-sl1C,"Giant",1,1022,3338_shp,1,0
102,28,t3A2-b3FD-sl1C,"Mountain Center",0,1021,3336_shp,1,0
102,28,t411-b3FD-sl1C,"Giant",1,1021,3338_shp,1,0
102,28,t415-b3FE-sl1C,"Mountain Center",0,1022,3336_shp,1,0
102,28,t484-b3FE-sl1C,"Giant",1,1022,3338_shp,1,0
102,28,t4B0-b3FD-sl1C,"Mountain Center",0,1021,3336_shp,1,0
102,28,t51F-b3FD-sl1C,"Giant",1,1021,3338_shp,1,0
102,28,t523-b3FE-sl1C,"Mountain Center",0,1022,3336_shp,1,0
102,28,t592-b3FE-sl1C,"Giant",1,1022,3338_shp,1,0
102,28,t596-b3FD-sl1C,"Mountain Center",0,1021,3336_shp,1,0
102,28,t605-b3FD-sl1C,"Giant",1,1021,3338_shp,1,0
102,28,t609-b3FE-sl1C,"Mountain Center",0,1022,3336_shp,1,0
102,28,t678-b3FE-sl1C,"Giant",1,1022,3338_shp,1,0
102,28,t6A4-b3FD-sl1C,"Mountain Center",0,1021,3336_shp,1,0
102,28,t713-b3FD-sl1C,"Giant",1,1021,3338_shp,1,0
102,28,t717-b3FE-sl1C,"Mountain Center",0,1022,3336_shp,1,0
102,28,t78A-b3FD-sl1C,"Mt Pocono",0,1021,3330_shp,1,0
102,28,t790-b3FE-sl1C,"Giant",1,1022,3344_shp,1,0
102,28,t7EE-b3FE-sl1C,"Mt Pocono",0,1022,3330_shp,1,0
102,28,t7F4-b3FD-sl1C,"Giant",1,1021,3344_shp,1,0
102,29,t25A-b3F4-sl1D,"Giant No NCC",1,1012,3333_shp,1,0
102,29,t2C6-b3FD-sl1D,"Mountain Center",0,1021,3337_shp,1,0
102,29,t2D1-b3FE-sl1D,"Giant",1,1022,3340_shp,1,0
102,29,t32F-b3FE-sl1D,"Mountain Center",0,1022,3337_shp,1,0
102,29,t332-b3FD-sl1D,"Giant",1,1021,3341_shp,1,0
102,29,t39E-b3FE-sl1D,"Giant",1,1022,3341_shp,1,0
102,29,t3A2-b3FD-sl1D,"Mountain Center",0,1021,3337_shp,1,0
102,29,t411-b3FD-sl1D,"Giant",1,1021,3341_shp,1,0
102,29,t415-b3FE-sl1D,"Mountain Center",0,1022,3337_shp,1,0
102,29,t484-b3FE-sl1D,"Giant",1,1022,3341_shp,1,0
102,29,t4B0-b3FD-sl1D,"Mountain Center",0,1021,3337_shp,1,0
102,29,t51F-b3FD-sl1D,"Giant",1,1021,3341_shp,1,0
102,29,t523-b3FE-sl1D,"Mountain Center",0,1022,3337_shp,1,0
102,29,t592-b3FE-sl1D,"Giant",1,1022,3341_shp,1,0
102,29,t596-b3FD-sl1D,"Mountain Center",0,1021,3337_shp,1,0
102,29,t605-b3FD-sl1D,"Giant",1,1021,3341_shp,1,0
102,29,t609-b3FE-sl1D,"Mountain Center",0,1022,3337_shp,1,0
102,29,t678-b3FE-sl1D,"Giant",1,1022,3341_shp,1,0
102,29,t6A4-b3FD-sl1D,"Mountain Center",0,1021,3337_shp,1,0
102,29,t713-b3FD-sl1D,"Giant",1,1021,3341_shp,1,0
102,29,t717-b3FE-sl1D,"Mountain Center",0,1022,3337_shp,1,0
102,29,t78A-b3FD-sl1D,"Mt Pocono",0,1021,3331_shp,1,0
102,29,t790-b3FE-sl1D,"Giant",1,1022,3340_shp,1,0
102,29,t7EE-b3FE-sl1D,"Mt Pocono",0,1022,3331_shp,1,0
102,29,t7F4-b3FD-sl1D,"Giant",1,1021,3340_shp,1,0
102,30,t25A-b3F4-sl1E,"Giant No NCC",1,1012,3335_shp,1,0
102,30,t2D1-b3FE-sl1E,"Giant",1,1022,3334_shp,1,0
102,30,t32F-b3FE-sl1E,"Mountain Center",0,1022,3343_shp,1,0
102,30,t39E-b3FE-sl1E,"Giant",1,1022,3342_shp,1,0
102,30,t415-b3FE-sl1E,"Mountain Center",0,1022,3343_shp,1,0
102,30,t41C-b3FD-sl1E,"Giant",1,1021,3334_shp,1,0
102,30,t484-b3FE-sl1E,"Giant",1,1022,3342_shp,1,0
102,30,t4B0-b3FD-sl1E,"Mountain Center",0,1021,3343_shp,1,0
102,30,t51F-b3FD-sl1E,"Giant",1,1021,3342_shp,1,0
102,30,t523-b3FE-sl1E,"Mountain Center",0,1022,3343_shp,1,0
102,30,t592-b3FE-sl1E,"Giant",1,1022,3342_shp,1,0
102,30,t596-b3FD-sl1E,"Mountain Center",0,1021,3343_shp,1,0
102,30,t605-b3FD-sl1E,"Giant",1,1021,3342_shp,1,0
102,30,t609-b3FE-sl1E,"Mountain Center",0,1022,3343_shp,1,0
102,30,t678-b3FE-sl1E,"Giant",1,1022,3342_shp,1,0
102,30,t6A4-b3FD-sl1E,"Mountain Center",0,1021,3343_shp,1,0
102,30,t713-b3FD-sl1E,"Giant",1,1021,3342_shp,1,0
102,30,t717-b3FE-sl1E,"Mountain Center",0,1022,3343_shp,1,0
102,30,t790-b3FE-sl1E,"Giant",1,1022,3334_shp,1,0
102,30,t7EE-b3FE-sl1E,"Mt Pocono",0,1022,3332_shp,1,0
102,31,t25A-b3F4-sl1F,"Giant No NCC",1,1012,3284_shp,1,0
102,31,t2C6-b3FD-sl1F,"Mountain Center",0,1021,3280_shp,1,0
102,31,t2D1-b3FE-sl1F,"Giant",1,1022,3283_shp,1,0
102,31,t32F-b3FE-sl1F,"Mountain Center",0,1022,3280_shp,1,0
102,31,t332-b3FD-sl1F,"Giant",1,1021,3282_shp,1,0
102,31,t39E-b3FE-sl1F,"Giant",1,1022,3282_shp,1,0
