service_id,date,exception_type
32,20220717,1
28,20220718,1
28,20220719,1
31,20220720,1
28,20220721,1
29,20220722,1
30,20220723,1
32,20220724,1
28,20220725,1
28,20220726,1
31,20220727,1
28,20220728,1
29,20220729,1
30,20220730,1
32,20220731,1
28,20220801,1
28,20220802,1
31,20220803,1
28,20220804,1
29,20220805,1
30,20220806,1
32,20220807,1
28,20220808,1
28,20220809,1
31,20220810,1
28,20220811,1
29,20220812,1
30,20220813,1
32,20220814,1
28,20220815,1
28,20220816,1
31,20220817,1
28,20220818,1
29,20220819,1
30,20220820,1
32,20220821,1
28,20220822,1
28,20220823,1
31,20220824,1
28,20220825,1
29,20220826,1
30,20220827,1
32,20220828,1
28,20220829,1
28,20220830,1
31,20220831,1
28,20220901,1
29,20220902,1
30,20220903,1
32,20220904,1
28,20220905,1
28,20220906,1
31,20220907,1
28,20220908,1
29,20220909,1
30,20220910,1
32,20220911,1
28,20220912,1
28,20220913,1
31,20220914,1
28,20220915,1
29,20220916,1
30,20220917,1
32,20220918,1
28,20220919,1
28,20220920,1
31,20220921,1
28,20220922,1
29,20220923,1
30,20220924,1
32,20220925,1
28,20220926,1
28,20220927,1
31,20220928,1
28,20220929,1
29,20220930,1
30,20221001,1
32,20221002,1
28,20221003,1
28,20221004,1
31,20221005,1
28,20221006,1
29,20221007,1
30,20221008,1
32,20221009,1
28,20221010,1
28,20221011,1
31,20221012,1
28,20221013,1
29,20221014,1
30,20221015,1
32,20221016,1
28,20221017,1
28,20221018,1
31,20221019,1
28,20221020,1
29,20221021,1
30,20221022,1
32,20221023,1
28,20221024,1
28,20221025,1
31,20221026,1
28,20221027,1
29,20221028,1
30,20221029,1
32,20221030,1
28,20221031,1
28,20221101,1
31,20221102,1
28,20221103,1
29,20221104,1
30,20221105,1
32,20221106,1
28,20221107,1
28,20221108,1
31,20221109,1
28,20221110,1
29,20221111,1
30,20221112,1
32,20221113,1
28,20221114,1
28,20221115,1
31,20221116,1
28,20221117,1
29,20221118,1
30,20221119,1
32,20221120,1
28,20221121,1
28,20221122,1
31,20221123,1
28,20221124,1
29,20221125,1
30,20221126,1
32,20221127,1
28,20221128,1
28,20221129,1
31,20221130,1
28,20221201,1
29,20221202,1
30,20221203,1
32,20221204,1
28,20221205,1
28,20221206,1
31,20221207,1
28,20221208,1
29,20221209,1
30,20221210,1
32,20221211,1
28,20221212,1
28,20221213,1
31,20221214,1
28,20221215,1
29,20221216,1
30,20221217,1
32,20221218,1
28,20221219,1
28,20221220,1
31,20221221,1
28,20221222,1
29,20221223,1
30,20221224,1
32,20221225,1
28,20221226,1
28,20221227,1
31,20221228,1
28,20221229,1
29,20221230,1
30,20221231,1
