stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1442,1442,"Pocono Medical Center ER Entrance",,40.9921684265,-75.175316,,,0,,1
1443,1443,"Golden Living / E. Brown St N",,40.9925193787,-75.172997,,,0,,1
1447,1447,"Hemlock Dorm ESU",,40.9980316162,-75.170555,,,0,,1
1602,1602,"CAO / Bridge St Apts",,40.9834671021,-75.224678,,,0,,1
1603,1603,"West Main St / Jane St",,40.9826660156,-75.220062,,,0,,1
1604,1604,"West Main St / Grace Park",,40.9826278687,-75.20903,,,0,,1
1606,1606,"Fetherman St / West Main",,40.9825935364,-75.206238,,,0,,1
1610,1610,"West Main St Wawa",,40.9835014343,-75.201172,,,0,,1
1612,1612,"Stroud Mansion",,40.9843177795,-75.198296,,,0,,1
1614,1614,"ShopRite Stroudsburg Plaza / McConnell",,40.9900436401,-75.18998,,,0,,1
1622,1622,"Analomink St / North Green St",,41.0009231567,-75.178497,,,0,,1
1624,1624,"Analomink / S Kistler Sts",,40.9994812012,-75.181114,,,0,,1
1626,1626,"Crystal St / Trackside",,40.9978866577,-75.181686,,,0,,1
1627,1627,"Starbird St / S. Courtland St S",,40.995552063,-75.182899,,,0,,1
1629,1629,"Dansbury Park SROSC / Day St",,40.9980888367,-75.185562,,,0,,1
1630,1630,"Day St. /  Barnum St. W / SARP",,40.9994125366,-75.186981,,,0,,1
1631,1631,"Day St / Lenox Ave W",,41.0001487732,-75.187637,,,0,,1
1633,1633,"Lenox Ave N / Elizabeth St",,41.0011253357,-75.185989,,,0,,1
1636,1636,"N Courtland St W / Lenox Ave",,41.0019721985,-75.18306,,,0,,1
1637,1637,"ESHSS Auditorium / Burson St",,41.0060768127,-75.184235,,,0,,1
1638,1638,"Spruce St. W / N. Courtland St.",,41.0106506348,-75.184402,,,0,,1
1640,1640,"5th St / N. Courtland St. W",,41.014793396,-75.183189,,,0,,1
1642,1642,"N Courtland St / Rt 447",,41.0156707764,-75.182961,,,0,,1
1643,1643,"Maple St / N. Courtland St. E / Cramers",,41.0077590942,-75.184334,,,0,,1
1646,1646,"Main / 7th NW",,40.9853858948,-75.194252,,,0,,1
1648,1648,"Main St / 8th",,40.9848976135,-75.196175,,,0,,1
1651,1651,"N 5th / Main / Kays Tavern",,40.9866218567,-75.190681,,,0,,1
1873,1873,"Kohls E",,41.00046,-75.26447,,,0,,1
1874,1874,"Kohls W",,41.00051,-75.26465,,,0,,1
1875,1875,"Lowes / Red Robin N",,41.00058,-75.26727,,,0,,1
1876,1876,"Lowes / Red Robin S",,41.00052,-75.26751,,,0,,1
1877,1877,"2582 PA 611, SCOTRUN, PA",,41.055207,-75.315858,,,0,,1
1878,1878,"PA 611 & I-80 SCOTRUN",,41.055926,-75.316011,,,0,,1
1879,1879,"1245 Pocono Blvd / Mount Pocono",,41.1299781799,-75.362114,,,0,,1
1880,1880,"Hotel M / Mount Pocono",,41.1297073364,-75.362152,,,0,,1
1881,1881,"Prospect / Center Sts W",,40.9936828613,-75.176804,,,0,,1
1882,1882,"Prospect / Center Sts E",,40.9938621521,-75.176682,,,0,,1
1883,1883,"Shawnee Mountain Ski Area",,41.0397415161,-75.083481,,,0,,1
